City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3hours),Snow Inches (last 3hours)
139,Aasiaat,GL,2020-01-02 06:35:06,68.71,-52.87,-0.98,87,96,9.6,overcast clouds,0.0,0.0
140,Chokurdakh,RU,2020-01-02 06:35:07,70.62,147.9,-17.54,98,98,2.68,overcast clouds,0.0,0.0
141,Rawson,AR,2020-01-02 06:35:07,-43.3,-65.11,65.8,71,4,26.66,clear sky,0.0,0.0
142,Chemainus,CA,2020-01-02 06:35:07,48.92,-123.72,46.0,75,90,4.7,overcast clouds,0.0,0.0
143,Nazareno,MX,2020-01-02 06:35:08,25.4,-103.42,51.04,81,99,4.07,light rain,0.13,0.0
144,Superior,US,2020-01-02 06:35:08,39.95,-105.17,41.0,32,1,40.26,clear sky,0.0,0.0
145,Komsomolskiy,RU,2020-01-02 06:35:08,67.55,63.78,3.16,95,100,15.7,overcast clouds,0.0,0.0
146,Yumen,CN,2020-01-02 06:35:09,40.29,97.04,26.02,42,3,1.3,clear sky,0.0,0.0
147,Yellowknife,CA,2020-01-02 06:35:09,62.45,-114.38,6.8,84,90,4.7,light snow,0.0,0.0
148,Pinawa,CA,2020-01-02 06:35:09,50.15,-95.88,24.04,96,97,7.29,light snow,0.0,0.25
149,Barranca,PE,2020-01-02 06:35:09,-10.75,-77.76,69.22,93,59,10.74,broken clouds,0.0,0.0
150,Codrington,AU,2020-01-02 06:35:10,-28.95,153.24,89.6,51,0,13.87,clear sky,0.0,0.0
151,Quzhou,CN,2020-01-02 06:35:10,28.97,118.86,55.18,74,72,4.18,broken clouds,0.0,0.0
152,Umm Kaddadah,SD,2020-01-02 06:35:10,13.6,26.69,68.5,21,50,9.01,scattered clouds,0.0,0.0
153,Hithadhoo,MV,2020-01-02 06:30:31,-0.6,73.08,83.62,74,7,10.58,light rain,0.13,0.0
154,Misratah,LY,2020-01-02 06:35:11,32.38,15.09,59.14,62,32,16.4,scattered clouds,0.0,0.0
155,Penzance,GB,2020-01-02 06:35:11,50.12,-5.53,51.01,87,43,12.75,scattered clouds,0.0,0.0
156,Airai,TL,2020-01-02 06:35:11,-8.93,125.41,76.24,82,99,3.94,moderate rain,6.19,0.0
157,Ronne,FR,2020-01-02 06:35:12,48.45,0.83,46.4,100,90,3.36,drizzle,0.0,0.0
158,Vallenar,CL,2020-01-02 06:35:12,-28.58,-70.76,54.64,89,0,1.99,clear sky,0.0,0.0
159,Monitos,CO,2020-01-02 06:35:12,8.25,-76.05,71.2,96,52,1.95,broken clouds,0.0,0.0
160,Vila Franca Do Campo,PT,2020-01-02 06:35:12,37.72,-25.43,53.6,81,20,6.93,few clouds,0.0,0.0
161,Porto Novo,BR,2020-01-02 06:35:13,-23.68,-45.44,69.8,88,75,3.69,broken clouds,0.0,0.0
162,Viedma,AR,2020-01-02 06:35:13,-40.81,-62.99,59.86,87,1,10.02,clear sky,0.0,0.0
163,Kahului,US,2020-01-02 06:33:55,20.89,-156.47,73.4,73,40,6.93,moderate rain,0.0,0.0
164,Borogontsy,RU,2020-01-02 06:35:14,62.67,131.17,-28.16,95,99,4.81,overcast clouds,0.0,0.0
165,Krapina,HR,2020-01-02 06:35:14,46.16,15.87,28.0,92,75,2.24,mist,0.0,0.0
166,Paamiut,GL,2020-01-02 06:35:14,61.99,-49.67,20.98,58,100,10.33,overcast clouds,0.0,0.0
167,Georgetown,GY,2020-01-02 06:35:14,6.8,-58.16,71.6,100,20,4.7,few clouds,0.0,0.0
168,Berlevag,NO,2020-01-02 06:35:15,70.86,29.09,28.4,79,75,9.17,broken clouds,0.0,0.0
169,Lavrentiya,RU,2020-01-02 06:35:15,65.58,-170.99,-12.14,82,81,18.52,broken clouds,0.0,0.0
170,Kathu,ZA,2020-01-02 06:35:15,-27.7,23.05,79.0,65,0,10.36,clear sky,0.0,0.0
171,Barabai,ID,2020-01-02 06:35:15,-2.59,115.38,86.14,73,92,2.37,moderate rain,4.88,0.0
172,Skogn,NO,2020-01-02 06:35:16,63.7,11.19,42.01,93,75,16.11,broken clouds,0.0,0.0
173,Kruisfontein,ZA,2020-01-02 06:35:16,-34.0,24.73,68.86,73,19,5.79,few clouds,0.0,0.0
174,Vostok,RU,2020-01-02 06:35:16,46.45,135.83,1.18,85,5,6.42,clear sky,0.0,0.0
175,Pocking,AT,2020-01-02 06:35:16,48.4,13.31,33.01,100,0,1.12,clear sky,0.0,0.0
176,Vyartsilya,RU,2020-01-02 06:35:17,62.18,30.69,37.36,88,98,9.62,overcast clouds,0.0,0.0
177,Broken Hill,AU,2020-01-02 06:35:17,-31.97,141.45,93.2,9,0,5.82,clear sky,0.0,0.0
178,Nelson Bay,AU,2020-01-02 06:35:17,-32.72,152.14,73.4,69,90,11.41,overcast clouds,0.0,0.0
179,Puerto Ayacucho,CO,2020-01-02 06:35:18,5.66,-67.63,71.74,93,85,1.72,overcast clouds,0.0,0.0
180,Porto Franco,BR,2020-01-02 06:35:18,-6.34,-47.4,71.56,98,100,4.83,heavy intensity rain,25.25,0.0
181,Sao Joao Da Barra,BR,2020-01-02 06:35:19,-21.64,-41.05,75.88,86,86,11.79,overcast clouds,0.0,0.0
182,Galle,GN,2020-01-02 06:35:19,10.08,-12.83,64.18,29,24,2.82,few clouds,0.0,0.0
183,Touros,BR,2020-01-02 06:35:20,-5.2,-35.46,75.2,94,40,3.36,light rain,0.0,0.0
184,Saldanha,PT,2020-01-02 06:35:20,41.42,-6.55,36.46,71,1,1.92,clear sky,0.0,0.0
185,Tura,RU,2020-01-02 06:35:20,64.27,100.22,-10.34,97,98,4.23,overcast clouds,0.0,0.0
186,Puerto Del Rosario,ES,2020-01-02 06:35:20,28.5,-13.86,64.4,42,41,18.34,scattered clouds,0.0,0.0
187,Karratha,AU,2020-01-02 06:33:42,-20.74,116.85,83.98,73,62,13.27,broken clouds,0.0,0.0
188,Lom,BG,2020-01-02 06:35:21,43.82,23.24,29.98,86,0,5.53,clear sky,0.0,0.0
189,Normandin,CA,2020-01-02 06:35:21,48.84,-72.53,26.6,86,90,6.93,overcast clouds,0.0,0.0
190,Norman Wells,CA,2020-01-02 06:35:21,65.28,-126.83,-9.4,83,90,14.99,light snow,0.0,0.0
191,Batsfjord,NO,2020-01-02 06:35:22,70.63,29.72,28.4,85,75,6.93,light shower snow,0.0,0.0
192,Lagoa,PT,2020-01-02 06:35:22,37.14,-8.45,55.4,76,40,9.17,scattered clouds,0.0,0.0
193,Naryan-Mar,RU,2020-01-02 06:35:22,67.67,53.09,7.66,93,94,10.89,overcast clouds,0.0,0.0
194,Port Shepstone,ZA,2020-01-02 06:35:22,-30.74,30.45,76.78,85,87,0.87,light rain,0.56,0.0
195,Baneh,IR,2020-01-02 06:35:23,35.99,45.88,35.6,100,52,3.36,broken clouds,0.0,0.0
196,Constitucion,MX,2020-01-02 06:35:23,23.99,-104.67,42.01,76,100,7.0,light rain,0.75,0.0
197,Enid,US,2020-01-02 06:35:23,36.4,-97.88,37.4,93,1,11.99,clear sky,0.0,0.0
198,Vila Do Maio,CV,2020-01-02 06:35:24,15.13,-23.22,71.6,78,100,12.75,haze,0.0,0.0
199,Ukiah,US,2020-01-02 06:35:24,39.15,-123.21,53.01,76,1,10.29,clear sky,0.0,0.0
200,Nioki,CD,2020-01-02 06:35:24,-2.72,17.69,75.88,83,100,3.74,overcast clouds,0.0,0.0
201,Grindavik,IS,2020-01-02 06:35:24,63.84,-22.43,32.0,58,75,39.15,light shower snow,0.0,0.0
202,Batagay-Alyta,RU,2020-01-02 06:35:25,67.8,130.41,-21.5,72,46,4.21,scattered clouds,0.0,0.0
203,Dalby,AU,2020-01-02 06:35:25,-27.18,151.26,102.99,23,0,12.75,clear sky,0.0,0.0
204,Merauke,ID,2020-01-02 06:35:25,-8.49,140.4,89.2,56,61,8.41,broken clouds,0.0,0.0
205,Raahe,FI,2020-01-02 06:35:25,64.68,24.47,41.0,75,92,17.22,overcast clouds,0.0,0.0
206,Port Lincoln,AU,2020-01-02 06:35:26,-34.72,135.86,75.88,39,48,12.66,scattered clouds,0.0,0.0
207,Obo,CF,2020-01-02 06:35:26,5.39,26.49,78.4,31,7,7.56,clear sky,0.0,0.0
208,Gumdag,TM,2020-01-02 06:35:26,39.2,54.59,48.16,59,67,4.85,broken clouds,0.0,0.0
209,Chumikan,RU,2020-01-02 06:35:27,54.72,135.31,-4.04,73,88,18.59,overcast clouds,0.0,0.0
210,Burns Lake,CA,2020-01-02 06:35:27,54.23,-125.76,16.48,88,0,4.61,clear sky,0.0,0.0
211,Ribeira Grande,PT,2020-01-02 06:35:28,38.52,-28.7,55.18,70,0,9.1,clear sky,0.0,0.0
212,Gizo,IL,2020-01-02 06:35:28,31.8,34.94,55.4,76,75,3.36,broken clouds,0.0,0.0
213,Qinzhou,CN,2020-01-02 06:35:28,21.96,108.62,73.0,68,100,11.45,overcast clouds,0.0,0.0
214,Lashio,MM,2020-01-02 06:35:28,22.93,97.75,73.18,53,99,2.01,overcast clouds,0.0,0.0
215,Salisbury,GB,2020-01-02 06:35:29,51.07,-1.8,46.99,93,75,5.82,broken clouds,0.0,0.0
216,Niquero,CU,2020-01-02 06:35:29,20.04,-77.58,70.12,87,86,8.19,overcast clouds,0.0,0.0
217,Roald,NO,2020-01-02 06:35:29,62.58,6.12,53.6,54,100,31.09,overcast clouds,0.0,0.0
218,Dzilam Gonzalez,MX,2020-01-02 06:35:29,21.28,-88.93,75.88,83,24,18.57,few clouds,0.0,0.0
219,Alibag,IN,2020-01-02 06:35:30,18.64,72.88,84.0,51,7,8.05,smoke,0.0,0.0
220,Port Macquarie,AU,2020-01-02 06:35:30,-31.43,152.91,87.01,65,27,11.41,scattered clouds,0.0,0.0
221,Tessalit,ML,2020-01-02 06:35:30,20.2,1.01,46.9,33,9,14.23,clear sky,0.0,0.0
222,Bayan,CN,2020-01-02 06:35:30,36.1,102.26,35.2,26,14,4.23,few clouds,0.0,0.0
223,Lorengau,PG,2020-01-02 06:35:31,-2.02,147.27,84.7,68,88,3.89,overcast clouds,0.0,0.0
224,Aden,YE,2020-01-02 06:31:51,12.79,45.03,81.64,64,55,13.49,broken clouds,0.0,0.0
225,Abha,SA,2020-01-02 06:32:12,18.22,42.5,64.4,59,0,9.17,clear sky,0.0,0.0
226,Bambari,CF,2020-01-02 06:35:31,5.77,20.68,70.84,26,99,8.34,overcast clouds,0.0,0.0
227,Alice Springs,AU,2020-01-02 06:30:41,-23.7,133.88,107.6,9,36,9.17,scattered clouds,0.0,0.0
228,Chapais,CA,2020-01-02 06:35:32,49.78,-74.86,19.4,85,90,3.36,overcast clouds,0.0,0.0
229,Acapulco,MX,2020-01-02 06:35:32,16.86,-99.88,75.2,88,40,3.36,scattered clouds,0.0,0.0
